Lap Details,Laptop state,Laptop price
Lenovo IdeaPad Intel Core i5 8GB RAM 128GB SSD Laptop Computer ,Pre-owned,£175.02
"DELL Latitude 5280, Intel Core i5-7300U - 2.6GHz, 4GB, 256GB SSD",Pre-owned,£426.89
Lenovo THINKPAD T440 Core i5-4300U A-Ware 8GB 180Gb SSD 1600x900 Cam De.tastatur,Pre-owned,£232.75
"HP EliteBook 9470M (14"" HD) Notebook i5 2,80GHz 8GB RAM 500GB HDD Win10+Tasche",Pre-owned,£490.38
*3Y WW* Dell Latitude E5550 i5-5200U 16GB 1TB UBUNTU HDTV Cam,Pre-owned,£179.65
*3 Years WFL* Dell Latitude E5550 i5-5300U 4GB 480GB SSD UBUNTU Cam,Pre-owned,£153.99
*3 Years WW* HP EliteBook 850 G3 i5-6200U 16GB 1TB UBUNTU FullHD Cam,Pre-owned,£218.15
*3 Years WW* HP ProBook 450 G3 i7-6500U 16GB 1TB SSD UBUNTU FullHD Cam,Pre-owned,£273.76
*3 Years WW* HP ProBook 450 G3 i7-6500U 8GB 240GB SSD UBUNTU FullHD Cam,Pre-owned,£230.98
HP EliteDesk 800 G5 Core i5-9600 3.10 GHz 8 GB 256 GB SSD Windows 11 Pro Desktop,Pre-owned,£157.49
*3 Years WW* HP EliteBook 850 G3 i7-6500U 32GB 500GB W10H FullHD Cam,Pre-owned,£284.02
"HP EliteBook 840 G2 (14""HD Notebook i5 2x2,3GHz 8GB RAM 120GB SSD Win10+G-Data",Pre-owned,£614.95
*3 Years WW* HP ProBook 450 G5 i5-8250U 16GB 1TB SSD W11P FullHD Cam,Pre-owned,£332.79
"HP EliteBook 840 G3 (14"" FHD) Notebook i5 2x2,4GHz 8GB RAM 500GB SSD Win7+G-Data",Pre-owned,£614.56
"HP EliteBook 840 G1 (14""HD Notebook i5 2x1,9GHz 8GB RAM 250GB SSD Win10+G-Data",Pre-owned,£490.38
*3 Years WW* Dell Latitude E5440 i5-4300U 4GB 240GB SSD W10P Cam,Pre-owned,£133.46
Dell Latitude 3410 Business 14 Laptop Core i7 computer 8GB RAM 1000GB HDD N,Excellent - Refurbished,£497.13
*3 Years WW* Lenovo ThinkPad T540P i3-4000M 4GB 480GB SSD W10P HDTV Cam,Pre-owned,£151.42
Dell Inspiron 3511 15 15.6 Laptop Core i5 student 32GB RAM 1000GB SSD G,Excellent - Refurbished,£576.57
"DELL Latitude E7240, Intel Core i5-4200U, 1.6GHz, 4GB, 256GB SSD",Pre-owned,£298.57
*3Years WW* Dell Latitude E5470 i3-6100U 8GB 240GB SSD W10P FullHD Cam,Pre-owned,£165.11
Dell Inspiron 5420 14 Laptop Core i7 QHD student MX570 32GB RAM 2000GB SSD D,Excellent - Refurbished,"£1,072.11"
*3 Years WW* HP ProBook 640 G2 i5-6300U 8GB 480GB SSD DRW W10H FHD Cam,Pre-owned,£168.53
Acer Aspire AV15-53P 15.6 in i7-1355U 1.70Ghz 16GB DDR5 512GB SSD Win 10,New (other),£680.07
"15.6"""" FHD Laptop for Celeron J4125 12GB Memory Backlight GD2",Brand new,£254.24
Shop on eBay,Brand New,$20.00
Lenovo ThinkPad L14 2nd Gen i5-1145G7 8/256GBSSD FHD Used Win11Pro QWERTY,Pre-owned,£550.94
HP Notebook Intel Core i5-1035G1 CPU @ 1.00GHz 12GB Grade B Laptop,Pre-owned,£230.98
"Laptop 15.6"""" 12GB+512GB SSD Notebook Bluetooth 5 1920 * 1080 Computer PC",Brand new,£221.57
"DELL latitude E5470 Core i5-6300U 2.4GHz 8GB RAM 256GB HDD 14.""-*** Boot to Bios",Parts only,£60.01
*3Years WW* Dell Latitude E5470 i3-6100U 8GB 240GB SSD W10P FullHD Cam,Pre-owned,£165.11
"Dell Latitude 5480 14"" Laptop i5-7300U 8 GB RAM Windows 10",Pre-owned,£140.01
Dell Inspiron 5420 14 Laptop Core i7 QHD student MX570 32GB RAM 2000GB SSD D,Excellent - Refurbished,"£1,072.11"
*3 Years WW* HP ProBook 640 G2 i5-6300U 8GB 480GB SSD DRW W10H FHD Cam,Pre-owned,£168.53
Dell Latitude 5440 Business 14 Laptop Core i7 FHD 13th Generation 32GB RAM L,Excellent - Refurbished,£949.61
Lenovo THINKPAD L470 Core i5-7200U 8Gb 128GB Nvme 14`` 1920x1080 IPS Webcam,Pre-owned,£216.60
"Panasonic Toughbook CF-53 MK4.14"",i5.2.0GHz,4GB,128GB,RS-232,DE Keyboard,A-WARE",Pre-owned,£401.23
"DELL LATITUDE E5470 Core i5-6300U 2.4GHz 8GB RAM No HDD 14"" - Boot to Bios",Parts only,£97.21
"HP 11.6"" 11MK G9 EE 32GB Chromebook (Black)",Brand new,£279.03
"14"""" Laptop LPDDR4 6GB Memory 1TB SSD HD Laptop With Camera For 11",Brand new,£221.14
Laptop 14in 1920x1080 For J4105 CPU 8GB RAM 256G SSD 2.4G WIFI HD Lap GDB,Brand new,£173.23
"DELL INSPIRON N5010 15.6"" LAPTOP WINDOWS 7 i5 3GB 320gb Hdd 82634",Pre-owned,£80.00
Dell Latitude E6430 Notebook (250GB Intel Core i5 3rd Gen 2.6GHz 4GB Win 10),Pre-owned,£80.72
Microsoft Surface Laptop 5 13.5  Touchscreen Notebook - 2256 x 1504 - Intel Core,Brand new,"£1,578.35"
"Dell Latitude 5480 14"" Laptop i5-7300U 8GB RAM 128GB SSD Windows 10",Pre-owned,£140.02
HP CHROMEBOOK 14-AK013DX,Pre-owned,£65.00
Dell LATITUDE E7440 Core i5 4310M 8GB RAM 256GB SSD Windows 10 WebCam,Pre-owned,£145.79
"Dell Latitude E5470 14"" i5 8GB RAM No HDD/SSD Parts",Parts only,£100.00
Dell Inspiron 7420 PLUS 14 Laptop Core i7 QHD 2022 40GB RAM 2000GB SSD y,Excellent - Refurbished,"£1,108.00"
Dell latitude E7470Intel core i5-6300u 2.40ghzWindows 10Ram 8gbSdd 250gb,Pre-owned,£150.02
Processore Pentium 4 INTEL (SL5VH) USATO FUNZIONANTE,Brand new,£12.83
PORTATILE NOTEBOOK HP 2570P INTEL CORE i5 3340M  SSD 120 GB  WEBCAM WINDOWS 10,Pre-owned,£240.86
Lenovo THINKPAD Edge E545 AMD A6 5350M 2.9 8GB 320GB HDD Webcam Windows 10,Pre-owned,£170.55
ACER R3 R3-131T DC POWER PORT 450.06502.0001,Pre-owned,£8.29
"HP CHROMEBOOK 11 G7 EE 11.6"" HD N4000 4GB 16GB EMMC CHROME OS 6QY22UT#ABA GRAY",Pre-owned,£60.01
Dell E5440 i5-4310U 8GB New Hard Drive 480SSD HD 610M A-Ware Win 10 Home,Pre-owned,£172.00
"New listing""ASUS ROG - 15.6"""" Notebook - 39.6cm (90NR0895-M00FL0)",Brand new,"£1,826.48"
Dell Inspiron 3511 15 15.6 Laptop Core i5 Windows 10 8GB RAM 512GB SSD C,Excellent - Refurbished,£494.51
Dell Latitude E5470 i5   2.7GHz | 8GB | 500GB HDD Win10 Pro |,Pre-owned,£100.01
*3 Years WW* HP ZBook 15 G3 E3-1505Mv5 64GB 500GB W11H M2000M FullHD Cam,Pre-owned,£420.05
*3 Years WW* HP EliteBook 850 G3 i5-6200U 4GB 240GB SSD UBUNTU FullHD Cam,Pre-owned,£186.50
*3 Years WW* HP EliteBook 820 G2 i5-5300U 16GB 320GB W10H Cam,Pre-owned,£136.02
*3Years WW* Dell Latitude E7470 i5-6300U 8GB 120GB SSD W10H FullHD Cam,Pre-owned,£161.69
*3 Years WFL* Lenovo ThinkPad T460 i5-6300U 8GB 240GB SSD UBUNTU FullHD Cam,Pre-owned,£158.27
15.6 Inch Laptop 16GB RAM 512GB ROM IPS Quad Core 2.9GHz CPU Fingerprint Reader,Brand new,£241.75 to £243.23
"10.1"""" Laptop LCD Display 64G ROM Dual Core 2.4GHz 2500mAh Laptop Compute GD2",Brand new,£156.87
" PORTATILE HPENERGY STAR INTEL CELERON N3050 DUAL CORE SSD 32GB WINDOWS 7  14""",Pre-owned,£145.43
"Fujitsu A573 I5 15.6"""" 4GB 240GB Touch Ita Win 10 Laptop Notebook",Pre-owned,£265.14
*3 Years WW* HP ProBook 650 G2 i5-6200U 8GB 320GB W10H HDTV Cam,Pre-owned,£174.52
Dell 7490 14” i5 8th Windows 10 Pro 16GB 960GB Computer Portable PC Layout Ita,Refurbished,£522.91
"Lenovo ThinkPad T460 14"" Laptop Intel Core i5-6300U 2.40GHz 8GB 256GB SSD Win10P",Pre-owned,£299.04
"DELL 7490 14"""" i5 8th WINDOWS 11 PRO 16GB 480GB LAPTOP PC LAYOUT ITA-",Good - Refurbished,£427.33
*3 Years WW* Lenovo ThinkPad T470 i5-6300U 16GB 240GB SSD W10P FullHD Cam,Pre-owned,£207.03
Toshiba Satellite Laptop A205-S5804-FOR PARTS-Missing HDD-Laptop ONLY-AS IS-C89,Parts only,£28.67
"DELL Latitude E5570, Intel Core i5-6300U, 2.4GHz, 8GB, 512GB SSD, *LTE-4G*",Pre-owned,£341.34
"New listingCore i7 12"""" Touch Rugged IP65 16GB Hard 960GB Personal Computer Tablet",Brand new,"£2,124.99"
USB Extension  (HP 15-ac134ds),Pre-owned,£9.00
"HP EliteBook 820 G2 i5 5300U 2.3GHz 16GB 256GB SSD 12.5"" Win 10 Pro",Pre-owned,£149.70
Dell Latitude E5450 (READ DESCRIPTION),Pre-owned,£150.02
Dell Latitude 3410 Business 14 Laptop Core i5 Windows 11 8GB RAM 1000GB HDD 0,Excellent - Refurbished,£428.62
"HP ProBook 6475b 14"" Laptop AMD A6-4400M 2.7GHz - BOOTS - RV",Parts only,£51.01
"Samsung Chromebook 11.6"" (16GB SSD, Samsung Exynos 5 Dual, 1.7GHz, 2GB RAM)...",Pre-owned,£50.01
*3 Years WW* HP EliteBook 840 G1 i5-4200U 4GB 120GB SSD W7 HD+ Cam,Pre-owned,£109.50
Lenovo THINKPAD Edge E545 AMD A6 5350M 2.9 8GB RAM 320GB HDD Webcam Windows 11,Pre-owned,£132.55
Acer Chromebook 511 C734T C734T-C483 11.6  Touchscreen Chromebook - HD - 1366 x,Brand new,£342.11
New listingDell 7480 i7 14” Windows 11 Pro Computer Portable 16GB 960GB HDMI Layout US,Refurbished,£512.86
*3 Years WW* Dell Latitude 7280 i5-6200U 16GB 120GB SSD W11H Cam,Pre-owned,£171.10
"Lenovo ThinkPad T470 Core i5-7300U 2,6GHz 8Gb 512GB SSD 1920x1080 IPS Webcam",Pre-owned,£253.93
Dell Latitude 5500 Business 15 15.6 Laptop Core i7 8th Gen 16GB RAM 512GB SSD S,Excellent - Refurbished,£437.84
"Dell Inspiron 15Z 5523 Core i7 Touch HDD 532 Go, Ram 8 Go, Win 10 & LOGICIELS",Pre-owned,£373.00
Lenovo ThinkPad E14 G2 A-WARE Core i5-1135G7 16GB 256GB 14``Full HD,Pre-owned,£604.02
HP EliteBook 840 G2 14” Windows 10 Pro Intel i5-5300U 2.3GHz 8GB RAM 256GB SSD,Pre-owned,£120.01
"New listingLenovo ThinkPad P14s - 14"" Notebook - Core i7 1.9GHz 35.6cm",Brand new,"£2,611.78"
HP Elitebook 840 G2 Core i5 5300U 8GB RAM 1 TB HDD Webcam Win10 Good Condition,Pre-owned,£175.97
Dell Latitude 7440 Business 14 Laptop Core i5 FHD Touchscreen 16GB RAM 0,Excellent - Refurbished,"£1,127.83"
*3 Years WW* HP EliteBook 840 G3 i5-6300U 4GB 240GB SSD UBUNTU FullHD Cam,Pre-owned,£150.57
New listingDell 7480 i7 14” Windows 11 Pro Computer Portable 64GB 4TB HDMI Layout US,Refurbished,"£1,380.88"
ServSwitch DT Series KVM,Pre-owned,£29.66
ACER R3 R3-131T DUAL BAND WIFI CARD COMBO WIFI+BT KISTN01101,Pre-owned,£10.86
USED Compaq Presario Laptop HSTNN-Q66C,Parts only,£32.99
"Toshiba Satellite PSCMLU-09T0L3 Pentium N3540 4GB RAM 1TB SSD 15.6""",Pre-owned,£65.01
"Dell Chromebook 11.6"" (16 GB eMMC , 2.16 GHz, 4 GB)Exellent Condition+ Hdmi",Pre-owned,£77.43
Shop on eBay,Brand New,$20.00
"Toshiba Satellite PSCMLU-09T0L3 Pentium N3540 4GB RAM 1TB SSD 15.6""",Pre-owned,£65.01
"Dell Chromebook 11.6"" (16 GB eMMC , 2.16 GHz, 4 GB)Exellent Condition+ Hdmi",Pre-owned,£77.43
Laptop 15.6in For N5095CPU 16GB Memory Fingerprint Keyboard Background GD2,Brand new,£230.97
"New listingHP Pavilion dv7-1260us 15.6""",Pre-owned,£80.00
ACER R3 R3-131T DC POWER PORT 450.06502.0001,Pre-owned,£8.29
"New listing15.6"" Windows 11 Lenovo Notebook AMD Ryzen 5 16GB DDR5 Radeon RX 1000GB SSD",Brand new,£379.84
"New listing""ASUS ROG - 15.6"""" Notebook - 39.6cm (90NR0895-M00FL0)",Brand new,"£1,826.48"
Dell Latitude Rugged Extreme 7230 Business 12 Laptop Core i7 FHD Touchscreen b,Excellent - Refurbished,"£2,421.36"
Dell Latitude E5470 i5   2.7GHz | 8GB | 500GB HDD Win10 Pro |,Pre-owned,£100.01
*3 Years WFL* Lenovo ThinkPad T460 i5-6300U 8GB 240GB SSD UBUNTU FullHD Cam,Pre-owned,£158.27
" PORTATILE HPENERGY STAR INTEL CELERON N3050 DUAL CORE SSD 32GB WINDOWS 7  14""",Pre-owned,£145.43
"Fujitsu A573 I5 15.6"""" 4GB 240GB Touch Ita Win 10 Laptop Notebook",Pre-owned,£265.14
*3 Years WW* HP ProBook 650 G2 i5-6200U 8GB 320GB W10H HDTV Cam,Pre-owned,£174.52
"HP 250 G6 (15.6"" HD) Intel N4000 2.6GHz 4GB 960GB SSD Windows 10 Pro",Brand new,£598.80
"Nexlink SP15R-UMA Intel Core i3-2310M 4GB RAM 250GB HDD 15.6"" Windows 10 Pro",Pre-owned,£80.01
"DELL Latitude 5300 i5-8265U 13.3"" 8GB 256GB SSD W10P French Keyboard 5300-QPv0",Excellent - Refurbished,£252.58
New listingLOT OF 3 LAPTOP PALMREST COREi7 10TH GEN Ryzen 3 CORE i5 8TH GEN AS IS PLS READ,Parts only,£150.02
Dell 7490 14” i5 8th Windows 10 Pro 16GB 960GB Computer Portable PC Layout Ita,Refurbished,£522.91
dell inspiron 531 AMD 64 X2,Pre-owned,£72.01
"Lenovo ThinkPad T460 14"" Laptop Intel Core i5-6300U 2.40GHz 8GB 256GB SSD Win10P",Pre-owned,£299.04
"DELL 7490 14"""" i5 8th WINDOWS 11 PRO 16GB 480GB LAPTOP PC LAYOUT ITA-",Good - Refurbished,£427.33
*3 Years WW* Lenovo ThinkPad T470 i5-6300U 16GB 240GB SSD W10P FullHD Cam,Pre-owned,£207.03
Toshiba Satellite Laptop A205-S5804-FOR PARTS-Missing HDD-Laptop ONLY-AS IS-C89,Parts only,£28.67
Dell Latitude 5440 Business 14 Laptop Core i7 FHD 13th Generation 32GB RAM L,Excellent - Refurbished,£949.61
"DELL Latitude E5570, Intel Core i5-6300U, 2.4GHz, 8GB, 512GB SSD, *LTE-4G*",Pre-owned,£341.34
USB Extension  (HP 15-ac134ds),Pre-owned,£9.00
"HP EliteBook 820 G2 i5 5300U 2.3GHz 16GB 256GB SSD 12.5"" Win 10 Pro",Pre-owned,£149.70
Dell Latitude E5450 (READ DESCRIPTION),Pre-owned,£150.02
"Microsoft Surface Pro 7+ Intel i5 1135G7 2.40GHz 16GB RAM 256GB SSD 12.3"" Win 11",Very Good - Refurbished,£461.52
(16+512G EU Male) 13 3-Inch Laptop 2-in-1 Laptop For J4105 CPU,Brand new,£294.57
"HP ProBook 6475b 14"" Laptop AMD A6-4400M 2.7GHz - BOOTS - RV",Parts only,£51.01
"New listingMSI RAIDERGE6814247 Raider GE68 HX Raider GE68HX 14VGG-247US 16"" Gaming Notebook",Brand new,"£2,187.33"
"HP EliteBook 9470M (14"" HD) Notebook i5 2,80GHz 8GB RAM 500GB HDD Win10+Tasche",Pre-owned,£490.38
*3 Years WW* HP EliteBook 850 G3 i5-6200U 4GB 480GB SSD W10H FullHD Cam,Pre-owned,£205.32
*3 Years WFL* Dell Latitude E5550 i5-5300U 4GB 480GB SSD UBUNTU Cam,Pre-owned,£153.99
*3 Years WW* HP ProBook 450 G3 i7-6500U 16GB 1TB SSD UBUNTU FullHD Cam,Pre-owned,£273.76
*3 Years WW* HP ProBook 450 G3 i5-6200U 16GB 1TB SSD UBUNTU FHD Cam,Pre-owned,£230.13
HP EliteDesk 800 G5 Core i5-9600 3.10 GHz 8 GB 256 GB SSD Windows 11 Pro Desktop,Pre-owned,£157.49
Onn 100002434 2-IN-1 13.3″ FHD Touchscreen i3-8145U 2.1GHz 4GB RAM 128GB Laptop,Pre-owned,£220.02
(16GB+2TB EU Male) 15 6-Inch Dual Screen Laptop To,Brand new,£398.55
*3 Years WW* HP ProBook 450 G5 i5-8250U 8GB 480GB SSD W11H FullHD Cam,Pre-owned,£287.45
"HP EliteBook 840 G2 (14""HD Notebook i5 2x2,3GHz 16GB RAM 500GB SSD Win7+G-Data",Pre-owned,£614.95
*3 Years WW* HP ProBook 450 G5 i5-8250U 16GB 1TB SSD W11P FullHD Cam,Pre-owned,£332.79
"HP EliteBook 840 G1 (14""HD Notebook i5 2x1,9GHz 8GB RAM 250GB SSD Win10+Tasche",Pre-owned,£490.38
"HP EliteBook 840 G3 (14"" FHD) Notebook i5-6300U 2x 2,40GHz 4GB RAM 1TB HDD Win7",Pre-owned,£614.95
*3 Years WW* Dell Latitude E5440 i5-4300U 8GB 120GB SSD W10P Cam,Pre-owned,£131.75
*3 Years WW* Lenovo ThinkPad T540P i3-4000M 4GB 480GB SSD W10P HDTV Cam,Pre-owned,£151.42
Dell Inspiron 3511 15 15.6 Laptop Core i5 student 32GB RAM 1000GB SSD G,Excellent - Refurbished,£576.57
*3 Years WW* HP ProBook 640 G2 i5-6300U 8GB 480GB SSD DRW W10H FHD Cam,Pre-owned,£168.53
"Panasonic Toughbook CF-53-MK1.14"",TOUCH,i5.4GB,128GB SSD,Win7,DE Keyboard,A-WARE",Pre-owned,£389.25
Dell Inspiron 5420 14 Laptop Core i7 QHD student MX570 32GB RAM 2000GB SSD D,Excellent - Refurbished,"£1,072.11"
"New listingCore i7 12"""" Touch Rugged IP65 16GB Hard 960GB Personal Computer Tablet",Brand new,"£2,124.99"
"Samsung Chromebook 11.6"" (16GB SSD, Samsung Exynos 5 Dual, 1.7GHz, 2GB RAM)...",Pre-owned,£50.01
*3 Years WW* HP EliteBook 840 G1 i5-4200U 4GB 120GB SSD W7 HD+ Cam,Pre-owned,£109.50
Lenovo THINKPAD Edge E545 AMD A6 5350M 2.9 8GB RAM 320GB HDD Webcam Windows 11,Pre-owned,£132.55
*3 Years WW* HP ZBook 15 G3 E3-1505Mv5 64GB 500GB W11H M2000M FullHD Cam,Pre-owned,£420.05
*3 Years WW* Lenovo ThinkPad T550 i5-5300U 4GB 1TB SSD W7 Cam,Pre-owned,£171.10
*3 Years WW* HP EliteBook 820 G2 i5-5300U 16GB 320GB W10H Cam,Pre-owned,£136.02
Acer Chromebook 511 C734T C734T-C483 11.6  Touchscreen Chromebook - HD - 1366 x,Brand new,£342.11
Dell Inspiron 7420 PLUS 14 Laptop Core i7 QHD 2022 40GB RAM 2000GB SSD y,Excellent - Refurbished,"£1,108.00"
New listingDell 7480 i7 14” Windows 11 Pro Computer Portable 16GB 960GB HDMI Layout US,Refurbished,£512.86
*3 Years WW* Dell Latitude 7280 i5-6200U 16GB 120GB SSD W11H Cam,Pre-owned,£171.10
"Lenovo ThinkPad T470 Core i5-7300U 2,6GHz 8Gb 512GB SSD 1920x1080 IPS Webcam",Pre-owned,£253.93
Dell Inspiron 3511 15 15.6 Laptop Core i5 Windows 10 8GB RAM 512GB SSD C,Excellent - Refurbished,£494.51
"Dell Inspiron 15Z 5523 Core i7 Touch HDD 532 Go, Ram 8 Go, Win 10 & LOGICIELS",Pre-owned,£373.00
Lenovo ThinkPad E14 G2 A-WARE Core i5-1135G7 16GB 256GB 14``Full HD,Pre-owned,£604.02
HP EliteBook 840 G2 14” Windows 10 Pro Intel i5-5300U 2.3GHz 8GB RAM 256GB SSD,Pre-owned,£120.01
"New listingLenovo ThinkPad P14s - 14"" Notebook - Core i7 1.9GHz 35.6cm",Brand new,"£2,611.78"
HP Elitebook 840 G2 Core i5 5300U 8GB RAM 1 TB HDD Webcam Win10 Good Condition,Pre-owned,£175.97
Dell Latitude 7440 Business 14 Laptop Core i5 FHD Touchscreen 16GB RAM 0,Excellent - Refurbished,"£1,127.83"
*3 Years WW* HP EliteBook 840 G3 i5-6300U 4GB 240GB SSD UBUNTU FullHD Cam,Pre-owned,£150.57
*3 Years WW* Lenovo ThinkPad T460 i5-6300U 8GB 500GB W10P FullHD Cam,Pre-owned,£171.10
New listingDell 7480 i7 14” Windows 11 Pro Computer Portable 64GB 4TB HDMI Layout US,Refurbished,"£1,380.88"
ServSwitch DT Series KVM,Pre-owned,£29.66
Dell Vostro 1510 Core 2 Duo Laptop Boots to BIOS NO HDD/Charger,Parts only,£39.99
"DELL Precision 3581 - 15.6"" FHD i7-13700H 16GB/512GB RTX A1000 Workstation w.NEW",New (other),"£1,162.62"
Shop on eBay,Brand New,$20.00
(EU Male 1TB) Ultra Thin Laptop 2X2W Speakers,Brand new,£193.98
"Lenovo IdeaPad 3 15IAU7 15.6"" (Intel Core i3-1215U, 1.2GHz, 256GB SSD, 8GB RAM)",New (other),£500.06
Laptop 15.6in For J4125CPU 8GB Memory For Win 11 Fingerprint Keyboard GD2,Brand new,£248.26
"Dell E6430 14"" i5 Viento 10 RAM 4GB SSD 120GB HDMI PC Portátil Notebook Dvd-Rom",Refurbished,£222.29
Asus Chromebook C424M 128G,Pre-owned,£150.02
Dell Latiude e6540 Core i5 4300M 2.6Ghz 8GB 500GB DVD FHD1920x1080x Intel 4600,Pre-owned,£469.67 to £640.77
Asus Chromebook C424M 128G,Pre-owned,£150.02
Dell Latitude 5490 i7 1.90 GHz 32GB 256GB SSD 10P,Pre-owned,£324.73
PORTATILE NOTEBOOK ASUS K50 CPU INTEL DUAL CORE SSD 120 GB WEBCAM WINDOWS 7 HOME,Pre-owned,£175.85
"HP ProBook 6465b 14"" Laptop AMD A6-3400M - NO POWER - RV",Parts only,£50.01
"Dell Latitude 7280 12.5"" Intel i5-6300U 2.40GHz 8GB 256GB SSD Memory",Pre-owned,£138.31
*3 Years WW* HP EliteBook 840 G3 i5-6200U 8GB 120GB SSD W10H FullHD Cam,Pre-owned,£161.69
"New listingHP 255 15.6"""" G9 Notebook PC - AMD Ryzen™ 7 - 39.6"""" (15.6"""") - 1920 x 1080 Pixel",Brand new,£571.75
"HP 14"" (64GB SSD, Intel Celeron N, 1.1 GHz, 4GB) Laptop - Rose Gold",Pre-owned,£180.02
For 11 Laptop 14in 1920x1080 IPS HD Display 6GB Memory 1TB 2.4G 5G WIFI SGH,Brand new,£221.11
"HP Notebook Chromebook 14a-na0221nd, 14'', Silver, Dutch Keyboard Layout",New (other),£171.06
TOP DEAL LENOVO T460S Core i5 max. 3.0GHz 8GB 120GB SSD Full HD IPS ,Pre-owned,£597.99 to £811.86
*3Years WW* Dell Latitude E5470 i3-6100U 8GB 240GB SSD UBUNTU FullHD uCam,Pre-owned,£138.59
"Dell Latitude 7490 14"" Laptop i5-8250U 8GB RAM 256GB SSD Windows 10",Pre-owned,£190.02
*3 Years WW* Dell Latitude E5440 i5-4300U 8GB 480GB SSD W10H Cam,Pre-owned,£137.73
"DELL 7490 14"""" i5 8th WINDOWS 11 PRO 32GB 2TB LAPTOP PC LAYOUT ITA.",Good - Refurbished,£709.03
*3 Years WW* HP EliteBook 840 G2 i5-5200U 8GB 240GB SSD UBUNTU Cam,Pre-owned,£134.31
Dell Latitude E5570 - i5-6300U @ 2.40GHz W/O ADAPTER/RAM/HDD,Parts only,£112.21
"Lenovo THINKPAD T470 Core i5-7300U 2,6GHz 8Gb 512GB SSD 1920x1080 IPS",Pre-owned,£256.04
3X(For Laptop / Left/Right Speakers for E5-5751602 Series Speakers,Brand new,£24.98
MacBook A1181 Intel Core 2 Duo 2.4GHz 2GB RAM 320GB HDD OS-X 10.6 FREE SHIP,Pre-owned,£30.00
*3Years WW* Dell Latitude 7300 i5-8265U 32GB 480GB SSD W10H FullHD Cam,Pre-owned,£281.46
Dell 7480 i7 14” Windows 10 Pro Ordenador Portátil 4GB 240GB HDMI Layout Ee,Refurbished,£365.49
SGIN 15.6inch Laptop 4GB DDR4 128GB SSD Windows 11 Laptop Computer with Quad Cor,Brand new,£330.04
"HP PROBOOK 6560B INTEL Core i5@2.50GHz 8GB 256ssd HD 15.6"" LED Webcam Win10",Pre-owned,£128.32
*3 Years WW* Dell Latitude E7270 i5-6300U 4GB 120GB SSD W10H Cam,Pre-owned,£135.17
*3 Years WW* HP ProBook 650 G2 i5-6200U 8GB 1TB SSD W10P HDTV Cam,Pre-owned,£220.72
*3 Years WW* Lenovo ThinkPad T440 i5-4300U 4GB 240GB SSD W7 HD+ Cam,Pre-owned,£119.77
"MPC TransPort T3000 14"" Laptop Tested Working No Charger",Pre-owned,£250.03
Lenovo Chromebook N23 Intel Celeron N3060 4GB RAM 16GB SSD ChromeOS,Pre-owned,£119.91
*3 Years WW* HP ProBook 650 G2 i5-6200U 16GB 240GB SSD wi10 FHD TOUCH Cam,Pre-owned,£219.86
*3Years WW* Dell Latitude E7470 i5-6300U 8GB 480GB SSD W10H FullHD Cam,Pre-owned,£177.09
"PORTATILE NOTEBOOK TOSHIBA M800 INTEL DUAL CORE SSD WEBCAM WINDOWS 10 _ 13,3''",Pre-owned,£187.35
Dell Latitude E5440 i5-4310U 2.00GHz 8GB 256GB SSD DVD Windows 10 Pro,Pre-owned,£153.90
"15.6"""" Laptop LPDDR4 12GB Memory 256GB ROM FHD Display 2.0GHz CPU Fingerprin BHC",Brand new,£251.20
"ASUS Chromebook CXB170C 17.3"" IPS 1080p Celeron N4500 4GB 32GB eMMc",New (other),£200.01
CDU Sili Basting Brush -CDU21305-TV,Brand new,£16.72
Dell XPS 9500 15 Laptop Core i5 FHD Music Production 16GB RAM 512GB SSD M,Excellent - Refurbished,"£1,102.16"
HP Chromebook 14 G5 Celeron N3350 1.1Ghz 8GB 32GB SSD Chromeos,Pre-owned,£214.65
*3 Years WW* HP EliteBook 840 G3 i5-6300U 32GB 120GB SSD W10H FullHD uCam,Pre-owned,£205.32
*1Year WFL* Dell Latitude E7250 i5-5300U 16GB 240GB SSD UBUNTU FHD TOUCH Cam,Pre-owned,£184.79
Acer Aspire E1-522-5603 Laptop Computer For Parts Or Repair,Parts only,£40.00
New listingDell E7470 i7 14” Windows 11 Pro Computer Portable 4GB 120GB Layout USA - PC,Refurbished,£346.10
10.1in Touch Screen 1024x600 IPS Capacitive Display Monitor for Raspberry P FAT,Brand new,£137.40
For 11 Laptop 14in 1920x1080 IPS HD Display 6GB Memory 1TB 2.4G 5G WIFI FAT,Brand new,£220.12
"Acer ConceptD 5 15.6"" Laptop, Intel i7-8705G, 16GB RAM, 512GB SSD Windows 10 Pro",New (other),"£1,100.12"
New listingPC Tablet Rugged i5 With Docking 12” Touch IP65 RAM 16GB SSD 2TB Win 10 4G LTE,Brand new,"£2,089.88"
"RM Series Minibook 100 Lubuntu Soft, 145GBHDD 1GB Intel Atom @ 1.66Ghz (",Pre-owned,£25.79
Dell Latitude 7330 Business 13 13.3 Laptop Core i5 FHD Touchscreen 8GB RAM y,Excellent - Refurbished,"£1,098.72"
New listingPC Tablet 12” Touch Rugged IP65 With Docking N5105 RAM 8GB SSD 2TB Win 11 4G,Brand new,"£1,619.74"
"Dell Latitude 5480 14"""" i5-6440HQ 2.6GHz 8GB 256GB SSD Win10 Pair Notebook",Pre-owned,£180.26
